from_n_id,to_n_id,type,bidir,accessible
n_G_0003_L,n_1_0066_L,lift,1,1
n_1_0066_L,n_2_0105_L,lift,1,1
n_2_0105_L,n_3_0013_L,lift,1,1
n_3_0013_L,n_4_0083_L,lift,1,1
n_G_0024_L,n_1_0058_L,lift,1,1
n_1_0058_L,n_2_0096_L,lift,1,1
n_2_0096_L,n_3_0014_L,lift,1,1
n_1_0043_L,n_2_0088_L,lift,1,1
n_2_0088_L,n_3_0015_L,lift,1,1
n_3_0015_L,n_4_0010_L,lift,1,1
n_1_0012_L,n_2_0048_L,lift,1,1
n_2_0048_L,n_3_0016_L,lift,1,1
n_3_0016_L,n_4_0069_L,lift,1,1
n_1_0006_L,n_2_0141_L,lift,1,1
n_2_0141_L,n_3_0017_L,lift,1,1
n_3_0017_L,n_4_0063_L,lift,1,1
n_4_0063_L,n_5_0001_L,lift,1,1
n_2_0027_L,n_3_0019_L,lift,1,1
n_3_0019_L,n_4_0041_L,lift,1,1
n_4_0041_L,n_5_0009_L,lift,1,1
